URL,name,price,ingredients
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/soflow-by-Vis-Plantis-odzywka-do-wlosow-srednioporowatych-proteinowo-emolientowa-zapach-energetuz,390353,13183","SO!FLOW BY VIS PLANTIS, odżywka do włosów średnioporowatych, proteinowo-emolientowa, zapach energetuzyjącego mango, 400 ml",16.49,"Aqua, Cetearyl Alcohol, Brassicamidopropyl Dimethylamine, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Betaine, Hydrolyzed Rice Protein, Hydrolyzed Vegetable Protein, Oryza Sativa Bran Oil, Lepidium Meyenii Root Extract, Argania Spinosa Kerknel Oil, Aloe Barbadensis Leaf Juice, Inulin, Macadamia Ternifolia Seed Oil, Maltooligosyl Gloucoside, Hydrogenated Starch Hydrolysate, Glycerin, Panthenol, Tocopherol, Beta-Sitosterol, Squalene, Glycine Soja Oil, Cetrimonium Chloride, Lactic Acid, Citric Acid, Parfum, Sodium Benzoate, Potassium Sorbate."
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Garnier-Fructis-Goodbye-Damage-krem-do-wlosow-bez-splukiwania-10w1-400-ml,317590,13183","GARNIER FRUCTIS, Goodbye Damage , krem do włosów, bez spłukiwania, 10w1, 400 ml",23.99,"Aqua/Water, Cetearyl Alcohol, Cocos Nucifera Oil/ Coconut Oil, Cetyl Alcohol, Cetyl Esters, Saccharum Officinarum Extract / Sugarcane Extract, Camellia Sinensis Leaf Extract, Phyllanthus Emblica Fruit Extract, Citrus Limon Peel Extract / Lemon Peel Extract, Pyrus Malus Fruit Extract / Apple Fruit Extract, Dilauryl Thiodipropionate, Niacinamide, Leuconostoc/Radish Root Ferment Filtrate, Trideceth-6, Amodimethicone, Behentrimonium Methosulfate, Sodium Hydroxide, Pyridoxine HCl, Hydrolyzed Corn Protein, Hydrolyzed Soy Protein, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Hydrolyzed Wheat Protein, Hydroxypropyltrimonium Lemon Protein, Caprylic/Capric Triglyceride, Citric Acid, Potassium Sorbate, Salicylic Acid, Phenoxyethanol, Cetrimonium Chloride, CI 15985 / Yellow 6, CI 19140 / Yellow 5, Linalool, Amyl Cinnamal, Hexyl Cinnamal, Benzyl Alcohol, Parfum / Fragrance."
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/soflow-by-Vis-Plantis-odzywka-do-wlosow-wlosy-krecone-zapach-dojrzalego-melona-z-aloesem-400-ml,390351,13183","SO!FLOW BY VIS PLANTIS, odżywka do włosów, włosy kręcone, zapach dojrzałego melona z aloesem, 400 ml",16.49,"Aqua, Cetearyl Alcohol, Glycerin, Behenamidopropyl Dimethylamine, Bis – Cetearyl Amodimethicone, Linum Usitatissium Seed Oil, Hydrolyzed Lupine Seed Extract, Citrus Junos Fruit Extract, Astragalus Membranaceus Root Extract, Inulin, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Undecane, Tridecane, Cetrimonium Chloride, Tocopherol, , Butylene Glycol, Lactic Acid, Parfum, Sodium Benzoate, Potassium Sorbate, Benzoic Acid, 1,2- Hexanediol, Caprylyl Glycol, Hexyl Cinnamal, Limonene, CI 42090, CI 19140"
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Hair-In-Balance-by-OnlyBio-odzywka-do-wlosow-humektantowa-200-ml,354509,13183","HAIR IN BALANCE BY ONLYBIO, odżywka do włosów, humektantowa, 200 ml",22.99,"Aqua, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Behentrimonium Chloride, Betaine, Sodium PCA, Aloe Barbadensis Leaf Juice, Lactic Acid, Citrus Aurantium Dulcis Fruit Water, Tocopherol, Guar Hydroxypropyltrimonium Chloride, Citric Acid, Propanediol, Cetrimonium Chloride, Benzyl Alcohol, Benzoic Acid, Dehydroacetic Acid, Potassium Sorbate, Sodium Benzoate, Parfum, Linalool."
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Hair-In-Balance-by-OnlyBio-odzywka-do-wlosow-wygladzajaca-200-ml,2072636,13183","HAIR IN BALANCE BY ONLYBIO, odżywka do włosów, wygładzająca, 200 ml",22.99,"Aqua, Cetearyl Alcohol, Dimethicone, Behentrimonium Chloride, C13-15 Alkane, Cetyl Esters, Cetrimonium Chloride, Camellia Japonica Seed Oil, Carica Papaya Fruit Extract, Guar Hydroxypropyltrimonium Chloride, Citric Acid, Sodium Benzoate, Potassium Sorbate, Benzyl Alcohol, Benzoic Acid, Dehydroacetic Acid, Tocopherol, Parfum, Limonene, Hydroxycitronellal."
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Schwarzkopf-Gliss-Ultimate-Repair-odzywka-do-wlosow-mocno-zniszczonych-ekspresowa-200-ml,135373,13183","SCHWARZKOPF GLISS, Ultimate Repair , odżywka do włosów mocno zniszczonych, ekspresowa, 200 ml",15.99,"Aqua (Water, Eau), Cyclomethicone, Phenyl Trimethicone, Hydrolyzed Keratin, Hydrolyzed Pearl, Lactic Acid, Sodium Benzoate, Glycerin, Dimethiconol, Cetrimonium Chloride, Potassium Sorbate, Coumarin, Sorbic Acid, Phenoxyethanol, Cetyl PEG/PPG-10/1 Dimethicone, Polyquaternium-16, Parfum (Fragrance), Linalool, Limonene, Benzyl Salicylate, Alpha-Isomethyl Ionone, Hexyl Cinnamal, Geraniol, Benzyl Alcohol, CI 19140 (Yellow 5), CI 17200 (Red 33)."
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Isana-Anti-Frizz-kuracja-do-wlosow-ekspresowa-nawilzajaca-w-sprayu-200-ml,243883,13183","ISANA, Anti Frizz , kuracja do włosów, ekspresowa, nawilżająca, w spray'u, 200 ml",10.49,"Aqua, Cyclopentasiloxane, Polysorbate 20, Argania Spinosa Kernel Oil, Prunus Armeniaca Kernel Oil, Orbignya Oleifera Seed Oil, Panthenol, Hydrolyzed Wheat Protein, Parfum, Cetrimonium Chloride, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Methoxy PEG/PPPG-7/3 Aminopropyl Dimethicone, Cyclohexasiloxane, Phenyl Trimethicone, Dimethiconol, Citric Acid, Sodium Chloride, Hexyl Cinnamal, Linalool, Limonene, Geraniol, Citronellol, Alpha-Isomethyl Ionone, Sodium Benzoate, Phenoxyethanol, CI 47005, CI 16035."
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/LOreal-Paris-Elseve-Magiczna-Moc-Olejkow-wielofunkcyjna-odzywka-do-wlosow-10w1-bez-splukiwania-15,420398,13183","L'ORÉAL PARIS ELSEVE, Magiczna Moc Olejków , wielofunkcyjna odżywka do włosów 10w1, bez spłukiwania, 150 ml",23.99,"Aqua / Water, Quaternium-87, Cocos Nucifera Oil / Coconut Oil, Tocopherol, Sodium Benzoate, Stearyl Alcohol, PPG-1 Trideceth-6, Behentrimonium Chloride, Anise Alcohol, Polyquaternium-37, Polysorbate 20, Polyquaternium-11, Sclerocarya Birrea Seed Oil, Camellia Japonica Seed Oil, Limonene, Candelilla Cera / Candelilla Wax, Linalool, Propylene Glycol Dicaprylate/Dicaprate, Propylene Glycol, Isopropyl Alcohol, Caprylyl Glycol, Caprylic/Capric Glycerides, Sorbitan Oleate, Gardenia Taitensis Flower, Rosa Canina Flower Extract, Citric Acid, Coumarin, Hexyl Cinnamal, Glycine Soja Oil / Soybean Oil, Parfum / Fragrance."
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Stars-from-The-Stars-odzywka-do-wlosow-emolientowa-200-ml,381374,13183","STARS FROM THE STARS, odżywka do włosów, emolientowa, 200 ml",21.99,"Aqua, Cetearyl Alcohol, Prunus Persica (Peach) Kernel Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Behentrimonium Chloride, Adansonia Digitata (Baobab) Seed Oil, Moonstone Extract, Persea Gratissima (Avocado) Oil, Cetrimonium Chloride, Tocopherol, Guar Hydroxypropyltrimonium Chloride, Glycerin, Benzyl Alcohol, Benzoic Acid, Dehydroacetic Acid, Citric Acid, Parfum, Benzyl Salicylate, Citral, Geraniol, Limonene, Linalool."
"https://www.rossmann.pl/Produkt/Odzywki-do-wlosow/Isana-Professional-odzywka-do-wlosow-Macadamia-Orange-250-ml,367458,13183","ISANA PROFESSIONAL, odżywka do włosów, Macadamia & Orange, 250 ml",11.49,"Aqua, Cetearyl Alcohol, Macadamia Integrifolia/Tetraphylla Seed Oil, Cetrimonium Chloride, Behentrimonium Methosulfate, Phenoxyethanol, Sodium Benzoate, Glyceryl Stearate SE, Citrus Aurantium Dulcis Peel Oil, Limonene, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Potassium Sorbate, Lactic Acid, Citric Acid."
